1 108,66577
2 217,36816
3 326,16211
4 435,39502
5 544,13599
6 654,63916
7 798
8 872,81812
9 977,59521
10 1087,146
11 1198,4441
12 1302,9641
13 1410,4729
14 1518,3921
15 1636,532
16 1743,2771
17 1840,3989
18 1949,4128
19 2059,4919
20 2168,136
21 2269,041
22 2393,8989
23 2491,8149
24 2619,1001
25 2698,1748
26 2828,0969
27 2926,469
28 3046,5371
29 3156,4021
30 3263,605
31 3352,9832
32 3459,282
33 3586,731
34 3746,3669
35 3813,781
36 3921,9089
37 4026,7058
38 4179,4219
39 4225,9351
40 4354,8398
41 4516,5881
42 4544,7649
43 4669,9099
44 4766,072
45 5019,9958
46 4994,115
47 5099,6089
48 5216,886
49 5314,0249
50 5407,6672
51 5715,21
52 5654,5012
53 5722,0139
54 5843,2659
55 5946,428
56 6203,686
57 6175,8689
58 6215,5679
59 6379,084
60 6512,6799
61 6571,5879
62 6702,4658
63 6784,7161
64 6921,4731
65 7012,8
66 7133,7671
67 7250,625
68 7342,4802
69 7426,323
70 7555,217
71 7721,7488
72 7787,2349
73 7857,5288
74 8013,4719
75 8058,0469
76 8165,709
77 8348,7988
78 8422,418
79 8516,9609
80 8902,2942
81 8707,677
82 8840,23
83 9123,0449
84 9013,73
85 9462,2742
86 9190,03
87 9378,615
88 9458,666
89 9820,6091
90 9703,7629
91 9747,9041
92 9897,249
93 10076,281
94 10096,162
95 10249,249
96 10323,03
97 10488,395
98 10580,828
99 10636,285
100 10759,727
